node,timestamp,split,query,summary
0,1593104923.0,None,"[[""offsid"", 0.8049283129993302], [""xhaka"", 0.4633125481285035], [""pass"", 0.2842349658077424], [""ball"", 0.23799659218357933]]",What a gorgeous ball from xhaka that was 😍 shame saka was offside. Offside but what a pass from Xhaka tho ffsss. Obvious offside lol but watch Xhaka get praise for that. Offside but that's what Granit Xhaka is in the side for. What a ball. Xhaka with the slide rule pass.. 🔥.
1,1593105077.0,None,"[[""tierney"", 0.6105194627314757], [""red"", 0.5052712319350031], [""score"", 0.31071915313648374], [""mustafi"", 0.3077009703143589], [""yellow"", 0.2580479572198401], [""card"", 0.2436762441344228], [""book"", 0.23403809169857695]]","Hojberg doesn’t get booked but mustafi does. Every game it happens. Aubameyang should score. Ruined what would have been a great assist for Tierney. Alan Smith: Arsenal more yellow cards than anyone, Mustafi has paid his part in that. First yellow."
2,1593105181.0,None,"[[""yellow"", 0.546677345591089], [""mustafi"", 0.495803107427768], [""absolut"", 0.48814393307199266], [""didnt"", 0.46587408072080594]]","Booking? First foul of the game by an Arsenal player. Absolutely. Mustafi gets a yellow card but the Southampton player didnt when we were on the break with pepe. Referees have an agenda against arsenal. Mustafi ""i take the ball"" no you didnt mate."
3,1593105280.0,None,"[[""ceballo"", 1.0]]","Love Ceballos. Hate him as a player though. Poor touches from Mustafi and Ceballos lead to a yellow and a break the other way. Yuck. Ceballos fucking up a roulette and losing the ball to a player who then has a chance at goal is very, very Ceballos."
4,1593105649.0,None,"[[""lead"", 0.43491716580046985], [""gift"", 0.2870177657415129], [""final"", 0.2849077206243604], [""need"", 0.2735993316873309], [""want"", 0.2683182381016217], [""ball"", 0.26146365409850714], [""mccarthi"", 0.23115483069781553], [""keeper"", 0.16938105725538005], [""win"", 0.14606292985361213], [""premier"", 0.14225190297791843], [""low"", 0.13449701520136792], [""clearanc"", 0.1309378433386088], [""error"", 0.1303435607892145], [""live"", 0.1294109051301194], [""cheer"", 0.12776343654777297], [""key"", 0.12752371266190043], [""tap"", 0.12749407598854687], [""fella"", 0.12731435465407534], [""way"", 0.12552082992165664], [""drink"", 0.1248040673464534], [""physio"", 0.12383559859668528], [""leagu"", 0.12360304732627495], [""goal"", 0.12317329624616014], [""mad"", 0.12146408352001307], [""caught"", 0.11207832939712929], [""spain"", 0.1109059595755512], [""quit"", 0.10986414842364656], [""joshua"", 0.10970046830908009], [""tire"", 0.10832331200448696], [""net"", 0.10446516869299556], [""nketiah"", 0.10433398645990886]]","Finally something to cheer up the arsenal fans. They needed it man. Oh so that is the only way Arsenal can win? Arsenal u have one job not to lose the lead. McCarthy gets caught on the ball, Nketiah blocks his clearance and taps into an empty net. 1-0 to the Arsenal."
5,1593105759.0,None,"[[""bellerin"", 0.6623911035603557], [""final"", 0.35318422320589216], [""determin"", 0.2575937592458479], [""abeg"", 0.256884998973391], [""luck"", 0.23804116227239183], [""sure"", 0.1724404909545405], [""profession"", 0.1724404909545405], [""sort"", 0.13978462291993174], [""ye"", 0.13896791882863718], [""mccarthi"", 0.1347612497868042], [""goalkeep"", 0.1343121814569151], [""sometim"", 0.13067240378762626], [""alex"", 0.12921173833403665], [""ksi"", 0.12225047497564501], [""leagu"", 0.11917775045026467], [""gift"", 0.11683400266962136], [""eddi"", 0.1113284278829426], [""hth"", 0.11036199823767043], [""friendli"", 0.10873740555233499]]",Arsenal are so shit that the league is gifting them goals. Will bellerin finally be able to fulfil his farmer dream? McCarthy’s error is a strong contender for biggest goalkeeper mistake of the season. #SOUARS. I guess Bellerin is finally going to plant some trees.
6,1593105849.0,None,"[[""half"", 0.5775641459306801], [""chanpionship"", 0.5206997886806473], [""gather"", 0.34091995944962444], [""pass"", 0.3103841972382586], [""bellerin"", 0.25927444728005067], [""sold"", 0.2511880017598853], [""bottl"", 0.2289278653122458]]","I want Arsenal to win, so we can all gather to laugh at Chelsea. Bellerin needs to be sold. Arsenal will probably bottle this lead. Eddie Nketiah (2) has more away goals than Lacazette (1) for Arsenal this season despite playing half the season in the Chanpionship."
7,1593105943.0,None,"[[""bellerin"", 0.7362930309562838], [""howler"", 0.45323706566456906], [""there"", 0.30558440452038377], [""defens"", 0.2844866004793427], [""isnt"", 0.2795250985772281]]",I’m ready for Cedric or AMN to take Bellerin’s position. He’s been shit since he came back from the acl. Bellerin is one finished player. When there’s a defensive howler in the Arsenal game but it isn’t made by an Arsenal player.
8,1593106053.0,None,"[[""past"", 0.6252493962059789], [""season"", 0.3584013172142771], [""declar"", 0.31596098763915115], [""someth"", 0.30446035113758146], [""fashion"", 0.29478767225545793], [""say"", 0.2706659134619053], [""focu"", 0.2608759685064553], [""entir"", 0.24467970465541874]]","Bellerin needs to focus on football not fashion. Arsenal really gonna finish an entire PL season with 9 wins. If Arsenal wins again tonight, I will do something 😂😂. Nketiah more away goals in the past 20 minutes than Laca in the past year and a half."
9,1593106158.0,None,"[[""six"", 0.47933884002964533], [""competit"", 0.4521176881479685], [""partner"", 0.3249378793783127], [""angri"", 0.3249378793783127], [""shock"", 0.31936864360562384], [""across"", 0.2734035665776625], [""eye"", 0.2492864888071099], [""footbal"", 0.24500915531249545], [""proper"", 0.23608375879847918]]",Eddie Nketiah has scored six goals in 11 starts across all club competitions this season 🔥. #SOUARS. Arsenal winning 1-0 that's a shock..... Xhaka will finally get a proper midfield partner. Tears on his eyes!. Ings is a good footballer.
